candidate_idx	isc_score	participant_ids
15	0.2875078091	sub-EN057,sub-EN061,sub-EN063,sub-EN064,sub-EN065,sub-EN067,sub-EN068,sub-EN069,sub-EN070,sub-EN073,sub-EN075,sub-EN077,sub-EN078,sub-EN081,sub-EN083,sub-EN084,sub-EN086,sub-EN088,sub-EN089,sub-EN091,sub-EN092,sub-EN093,sub-EN101,sub-EN103,sub-EN105,sub-EN110,sub-EN114,sub-EN115
16	0.2741398661	sub-EN058,sub-EN062,sub-EN065,sub-EN067,sub-EN069,sub-EN072,sub-EN073,sub-EN076,sub-EN077,sub-EN078,sub-EN079,sub-EN081,sub-EN084,sub-EN086,sub-EN088,sub-EN091,sub-EN093,sub-EN094,sub-EN096,sub-EN099,sub-EN104,sub-EN105,sub-EN106,sub-EN108,sub-EN109,sub-EN110,sub-EN113,sub-EN115
17	0.3106514904	sub-EN057,sub-EN062,sub-EN063,sub-EN064,sub-EN069,sub-EN070,sub-EN072,sub-EN073,sub-EN075,sub-EN076,sub-EN078,sub-EN079,sub-EN081,sub-EN083,sub-EN084,sub-EN086,sub-EN087,sub-EN088,sub-EN091,sub-EN092,sub-EN093,sub-EN096,sub-EN098,sub-EN100,sub-EN101,sub-EN108,sub-EN109,sub-EN110
18	0.2644087174	sub-EN058,sub-EN061,sub-EN062,sub-EN063,sub-EN065,sub-EN069,sub-EN073,sub-EN075,sub-EN076,sub-EN078,sub-EN082,sub-EN083,sub-EN086,sub-EN089,sub-EN091,sub-EN092,sub-EN093,sub-EN094,sub-EN095,sub-EN096,sub-EN101,sub-EN103,sub-EN105,sub-EN108,sub-EN110,sub-EN113,sub-EN114,sub-EN115
19	0.2655580656	sub-EN057,sub-EN061,sub-EN062,sub-EN064,sub-EN065,sub-EN067,sub-EN068,sub-EN072,sub-EN073,sub-EN074,sub-EN075,sub-EN077,sub-EN078,sub-EN079,sub-EN083,sub-EN084,sub-EN088,sub-EN089,sub-EN091,sub-EN092,sub-EN094,sub-EN095,sub-EN096,sub-EN097,sub-EN104,sub-EN105,sub-EN108,sub-EN115
20	0.2815790108	sub-EN059,sub-EN062,sub-EN064,sub-EN067,sub-EN068,sub-EN074,sub-EN075,sub-EN076,sub-EN077,sub-EN078,sub-EN082,sub-EN083,sub-EN084,sub-EN087,sub-EN089,sub-EN092,sub-EN093,sub-EN094,sub-EN097,sub-EN098,sub-EN100,sub-EN101,sub-EN104,sub-EN105,sub-EN106,sub-EN108,sub-EN113,sub-EN114
21	0.3010816890	sub-EN059,sub-EN061,sub-EN063,sub-EN067,sub-EN068,sub-EN069,sub-EN070,sub-EN072,sub-EN073,sub-EN074,sub-EN076,sub-EN077,sub-EN078,sub-EN081,sub-EN083,sub-EN084,sub-EN087,sub-EN088,sub-EN089,sub-EN096,sub-EN097,sub-EN103,sub-EN104,sub-EN105,sub-EN108,sub-EN109,sub-EN110,sub-EN113
22	0.3078043014	sub-EN057,sub-EN058,sub-EN061,sub-EN062,sub-EN063,sub-EN068,sub-EN070,sub-EN074,sub-EN075,sub-EN076,sub-EN077,sub-EN078,sub-EN081,sub-EN083,sub-EN084,sub-EN088,sub-EN092,sub-EN093,sub-EN096,sub-EN097,sub-EN098,sub-EN100,sub-EN106,sub-EN108,sub-EN109,sub-EN110,sub-EN113,sub-EN114
23	0.2841841181	sub-EN058,sub-EN059,sub-EN061,sub-EN062,sub-EN063,sub-EN068,sub-EN069,sub-EN072,sub-EN074,sub-EN075,sub-EN076,sub-EN082,sub-EN084,sub-EN088,sub-EN092,sub-EN093,sub-EN094,sub-EN096,sub-EN097,sub-EN101,sub-EN103,sub-EN104,sub-EN105,sub-EN106,sub-EN108,sub-EN110,sub-EN114,sub-EN115
24	0.2872125952	sub-EN057,sub-EN059,sub-EN062,sub-EN064,sub-EN065,sub-EN067,sub-EN068,sub-EN070,sub-EN072,sub-EN073,sub-EN074,sub-EN075,sub-EN078,sub-EN079,sub-EN081,sub-EN082,sub-EN083,sub-EN084,sub-EN091,sub-EN092,sub-EN094,sub-EN099,sub-EN100,sub-EN101,sub-EN108,sub-EN109,sub-EN110,sub-EN114
