candidate_idx	isc_score	participant_ids
15	0.3072831445	sub-CN001,sub-CN002,sub-CN004,sub-CN005,sub-CN006,sub-CN007,sub-CN010,sub-CN011,sub-CN013,sub-CN014,sub-CN016,sub-CN017,sub-CN018,sub-CN019,sub-CN020,sub-CN021,sub-CN022,sub-CN023,sub-CN024,sub-CN025,sub-CN028,sub-CN029,sub-CN030,sub-CN031,sub-CN033,sub-CN034,sub-CN036,sub-CN037
16	0.3001980953	sub-CN001,sub-CN004,sub-CN005,sub-CN006,sub-CN007,sub-CN008,sub-CN010,sub-CN011,sub-CN013,sub-CN014,sub-CN015,sub-CN016,sub-CN018,sub-CN020,sub-CN021,sub-CN022,sub-CN023,sub-CN024,sub-CN025,sub-CN027,sub-CN028,sub-CN029,sub-CN031,sub-CN032,sub-CN033,sub-CN034,sub-CN036,sub-CN037
17	0.3072350012	sub-CN001,sub-CN002,sub-CN003,sub-CN004,sub-CN005,sub-CN007,sub-CN008,sub-CN009,sub-CN010,sub-CN011,sub-CN013,sub-CN014,sub-CN015,sub-CN017,sub-CN018,sub-CN019,sub-CN020,sub-CN022,sub-CN023,sub-CN024,sub-CN025,sub-CN026,sub-CN029,sub-CN030,sub-CN031,sub-CN033,sub-CN034,sub-CN036
18	0.2925049878	sub-CN001,sub-CN002,sub-CN003,sub-CN004,sub-CN005,sub-CN006,sub-CN007,sub-CN008,sub-CN009,sub-CN011,sub-CN013,sub-CN014,sub-CN015,sub-CN018,sub-CN019,sub-CN020,sub-CN021,sub-CN022,sub-CN024,sub-CN025,sub-CN026,sub-CN027,sub-CN028,sub-CN029,sub-CN033,sub-CN034,sub-CN036,sub-CN037
19	0.2982081049	sub-CN001,sub-CN002,sub-CN004,sub-CN005,sub-CN006,sub-CN007,sub-CN008,sub-CN009,sub-CN010,sub-CN013,sub-CN014,sub-CN015,sub-CN016,sub-CN017,sub-CN018,sub-CN021,sub-CN022,sub-CN023,sub-CN024,sub-CN025,sub-CN026,sub-CN028,sub-CN029,sub-CN031,sub-CN032,sub-CN034,sub-CN036,sub-CN037
20	0.2933355757	sub-CN001,sub-CN003,sub-CN004,sub-CN005,sub-CN006,sub-CN007,sub-CN008,sub-CN009,sub-CN011,sub-CN013,sub-CN014,sub-CN016,sub-CN017,sub-CN018,sub-CN019,sub-CN020,sub-CN021,sub-CN022,sub-CN023,sub-CN024,sub-CN025,sub-CN026,sub-CN027,sub-CN028,sub-CN029,sub-CN030,sub-CN036,sub-CN037
21	0.2953963685	sub-CN003,sub-CN004,sub-CN005,sub-CN006,sub-CN007,sub-CN008,sub-CN009,sub-CN010,sub-CN013,sub-CN014,sub-CN015,sub-CN016,sub-CN017,sub-CN018,sub-CN019,sub-CN020,sub-CN022,sub-CN023,sub-CN026,sub-CN027,sub-CN028,sub-CN029,sub-CN030,sub-CN032,sub-CN033,sub-CN034,sub-CN036,sub-CN037
22	0.3007958835	sub-CN003,sub-CN004,sub-CN005,sub-CN006,sub-CN007,sub-CN008,sub-CN009,sub-CN011,sub-CN015,sub-CN016,sub-CN017,sub-CN018,sub-CN019,sub-CN020,sub-CN021,sub-CN022,sub-CN023,sub-CN024,sub-CN025,sub-CN026,sub-CN027,sub-CN029,sub-CN030,sub-CN031,sub-CN032,sub-CN033,sub-CN034,sub-CN037
23	0.3034932613	sub-CN001,sub-CN003,sub-CN006,sub-CN007,sub-CN008,sub-CN009,sub-CN010,sub-CN011,sub-CN013,sub-CN014,sub-CN015,sub-CN016,sub-CN017,sub-CN019,sub-CN020,sub-CN021,sub-CN022,sub-CN023,sub-CN024,sub-CN025,sub-CN026,sub-CN028,sub-CN029,sub-CN030,sub-CN031,sub-CN032,sub-CN034,sub-CN036
24	0.2956752984	sub-CN001,sub-CN004,sub-CN005,sub-CN006,sub-CN007,sub-CN008,sub-CN009,sub-CN010,sub-CN011,sub-CN013,sub-CN016,sub-CN017,sub-CN018,sub-CN019,sub-CN020,sub-CN021,sub-CN022,sub-CN023,sub-CN024,sub-CN025,sub-CN026,sub-CN027,sub-CN028,sub-CN030,sub-CN031,sub-CN034,sub-CN036,sub-CN037
25	0.2793277113	sub-CN004,sub-CN005,sub-CN007,sub-CN008,sub-CN009,sub-CN010,sub-CN011,sub-CN013,sub-CN015,sub-CN016,sub-CN017,sub-CN018,sub-CN019,sub-CN020,sub-CN023,sub-CN024,sub-CN025,sub-CN026,sub-CN027,sub-CN028,sub-CN029,sub-CN030,sub-CN031,sub-CN032,sub-CN033,sub-CN034,sub-CN036,sub-CN037
